model,split,problem_idx,example_id,variant,run_idx,original_answer,predicted_answer,is_correct_exact,input_tokens,output_tokens,error
sonnet-4.6,train,2,12,original,0,\begin{pmatrix} 20/3 & 4/3 \\ -8/3 & 8/3 \end{pmatrix},\begin{pmatrix} 20/3 & 4/3 \\ -8/3 & 8/3 \end{pmatrix},True,377,269,
sonnet-4.6,train,1,1,original,0,\begin{pmatrix} \frac{3}{5} & \frac{1}{5} \\ \frac{3}{5} & \frac{1}{5} \end{pmatrix},\begin{pmatrix} 3/5 & 1/5 \\ 3/5 & 1/5 \end{pmatrix},False,397,428,
sonnet-4.6,train,6,21,original,0,"\left( \frac{1}{15}, \frac{2}{15}, \frac{4}{15}, \frac{8}{15} \right)","\left(\dfrac{1}{15}, \dfrac{2}{15}, \dfrac{4}{15}, \dfrac{8}{15}\right)",False,776,448,
sonnet-4.6,train,0,0,original,0,\begin{pmatrix} 4 \\ -3 \end{pmatrix},\begin{pmatrix} 4 \\ -3 \end{pmatrix},True,401,316,
sonnet-4.6,train,0,0,node_deletion,0,\begin{pmatrix} 4 \\ -3 \end{pmatrix},\begin{pmatrix} 3 \\ 4 \end{pmatrix},False,356,425,
sonnet-4.6,train,0,0,edge_deletion,0,\begin{pmatrix} 4 \\ -3 \end{pmatrix},\begin{pmatrix} 3 \\ 4 \end{pmatrix},False,354,560,
sonnet-4.6,train,6,21,node_deletion,0,"\left( \frac{1}{15}, \frac{2}{15}, \frac{4}{15}, \frac{8}{15} \right)","\left(\dfrac{1}{15}, \dfrac{2}{15}, \dfrac{4}{15}, \dfrac{8}{15}\right)",False,484,885,
sonnet-4.6,train,3,13,original,0,\frac{7}{2},\dfrac{7}{2},False,493,675,
sonnet-4.6,train,1,1,node_deletion,0,\begin{pmatrix} \frac{3}{5} & \frac{1}{5} \\ \frac{3}{5} & \frac{1}{5} \end{pmatrix},\dfrac{1}{2}\begin{pmatrix} 1 & 1 \\ 1 & 1 \end{pmatrix},False,376,1088,
sonnet-4.6,train,6,21,edge_deletion,0,"\left( \frac{1}{15}, \frac{2}{15}, \frac{4}{15}, \frac{8}{15} \right)","\left(\dfrac{1}{15}, \dfrac{2}{15}, \dfrac{4}{15}, \dfrac{8}{15}\right)",False,541,1001,
sonnet-4.6,train,4,16,edge_deletion,0,28,"4\left\lfloor \sqrt{2}\,k+\tfrac{1}{2}\right\rfloor",False,306,1382,
sonnet-4.6,train,2,12,edge_deletion,0,\begin{pmatrix} 20/3 & 4/3 \\ -8/3 & 8/3 \end{pmatrix},\begin{pmatrix} 20/3 & 4/3 \\ -8/3 & 8/3 \end{pmatrix},False,344,1273,
sonnet-4.6,train,1,1,edge_deletion,0,\begin{pmatrix} \frac{3}{5} & \frac{1}{5} \\ \frac{3}{5} & \frac{1}{5} \end{pmatrix},\begin{pmatrix} 1/2 & 1/2 \\ 1/2 & 1/2 \end{pmatrix},False,375,1203,
sonnet-4.6,train,5,19,original,0,\frac{20}{3},8,False,297,1303,
sonnet-4.6,train,5,19,edge_deletion,0,\frac{20}{3},4,False,324,1370,
sonnet-4.6,train,2,12,node_deletion,0,\begin{pmatrix} 20/3 & 4/3 \\ -8/3 & 8/3 \end{pmatrix},\begin{pmatrix} 2 & 0 \\ 0 & 2 \end{pmatrix},False,373,1241,
sonnet-4.6,train,5,19,node_deletion,0,\frac{20}{3},\dfrac{K^3}{8},False,304,1544,
sonnet-4.6,train,4,16,node_deletion,0,28,4k,False,306,1497,
sonnet-4.6,train,3,13,edge_deletion,0,\frac{7}{2},4,False,304,1241,
sonnet-4.6,train,7,24,original,0,10 \pi - 29,10\pi - 29,False,296,1288,
sonnet-4.6,train,3,13,node_deletion,0,\frac{7}{2},1+\dfrac{HC}{6},False,294,1321,
sonnet-4.6,train,7,24,edge_deletion,0,10 \pi - 29,2\pi - 6,False,304,1094,
sonnet-4.6,train,11,31,original,0,\frac{45}{2},\dfrac{45}{2},False,294,409,
sonnet-4.6,train,13,33,original,0,80,80,True,367,230,
sonnet-4.6,train,8,26,node_deletion,0,\frac{1}{20},\dfrac{1}{2N},False,322,1361,
sonnet-4.6,train,11,31,edge_deletion,0,\frac{45}{2},\dfrac{45}{2},False,285,509,
sonnet-4.6,train,8,26,original,0,\frac{1}{20},\dfrac{1}{20},False,318,1501,
sonnet-4.6,train,7,24,node_deletion,0,10 \pi - 29,1,False,304,1278,
sonnet-4.6,train,4,16,original,0,28,28,True,299,1310,
sonnet-4.6,train,8,26,edge_deletion,0,\frac{1}{20},\dfrac{1}{2N},False,322,1316,
sonnet-4.6,train,12,32,original,0,\begin{pmatrix} -40/29 \\ 16/29 \end{pmatrix},\begin{pmatrix} -40/29 \\ 16/29 \end{pmatrix},True,311,679,
sonnet-4.6,train,15,37,original,0,0,0,True,302,142,
sonnet-4.6,train,13,33,edge_deletion,0,80,40,False,366,430,
sonnet-4.6,train,15,37,edge_deletion,0,0,0,False,308,145,
sonnet-4.6,train,12,32,node_deletion,0,\begin{pmatrix} -40/29 \\ 16/29 \end{pmatrix},\begin{pmatrix} -10b/29 \\ 4b/29 \end{pmatrix},False,319,773,
sonnet-4.6,train,10,3,original,0,\frac{124}{13},\dfrac{124}{13},False,341,1479,
sonnet-4.6,train,14,35,original,0,\frac{\pi}{14},\dfrac{\pi}{14},False,277,577,
sonnet-4.6,train,13,33,node_deletion,0,80,20,False,367,547,
sonnet-4.6,train,17,39,original,0,\frac{8}{21},\dfrac{8}{21},False,673,295,
sonnet-4.6,train,10,3,node_deletion,0,\frac{124}{13},k,False,340,1412,
sonnet-4.6,train,9,28,original,0,10,10,True,299,1376,
sonnet-4.6,train,18,4,original,0,\begin{pmatrix} -20/13 \\ -4/13 \end{pmatrix},\begin{pmatrix} -20/13 \\ -4/13 \end{pmatrix},True,341,266,
sonnet-4.6,train,14,35,edge_deletion,0,\frac{\pi}{14},\dfrac{\pi}{14},False,274,761,
sonnet-4.6,train,9,28,node_deletion,0,10,\left\lfloor \dfrac{R}{\pi} + \dfrac{1}{2} \right\rfloor,False,309,1462,
sonnet-4.6,train,18,4,edge_deletion,0,\begin{pmatrix} -20/13 \\ -4/13 \end{pmatrix},\begin{pmatrix} 0 \\ 0 \end{pmatrix},False,314,365,
sonnet-4.6,train,11,31,node_deletion,0,\frac{45}{2},\dfrac{45}{2},False,310,1440,
sonnet-4.6,train,12,32,edge_deletion,0,\begin{pmatrix} -40/29 \\ 16/29 \end{pmatrix},\begin{pmatrix} 0 \\ 0 \end{pmatrix},False,307,905,
sonnet-4.6,train,14,35,node_deletion,0,\frac{\pi}{14},\dfrac{\pi}{2(2n+3)},False,285,985,
sonnet-4.6,train,15,37,node_deletion,0,0,0,False,337,554,
sonnet-4.6,train,19,42,original,0,13,13,True,312,489,
sonnet-4.6,train,21,44,original,0,"(1,2)","(1,2)",True,413,102,
sonnet-4.6,train,16,38,original,0,\begin{pmatrix} -11/15 \\ -2/3 \\ -2/15 \end{pmatrix},\begin{pmatrix} -11/15 \\ -2/3 \\ -2/15 \end{pmatrix},True,371,1179,
sonnet-4.6,train,18,4,node_deletion,0,\begin{pmatrix} -20/13 \\ -4/13 \end{pmatrix},\begin{pmatrix} 0 \\ 0 \end{pmatrix},False,309,646,
sonnet-4.6,train,21,44,edge_deletion,0,"(1,2)","(1,2)",False,407,149,
sonnet-4.6,train,16,38,edge_deletion,0,\begin{pmatrix} -11/15 \\ -2/3 \\ -2/15 \end{pmatrix},\begin{pmatrix} 0 \\ 1 \\ 0 \end{pmatrix},False,332,1078,
sonnet-4.6,train,20,43,node_deletion,0,\begin{pmatrix} -34/53 \\ 119/53 \end{pmatrix},\begin{pmatrix} -7/5 \\ 14/5 \end{pmatrix},False,319,667,
sonnet-4.6,train,21,44,node_deletion,0,"(1,2)","(1,2)",False,402,451,
sonnet-4.6,train,23,5,node_deletion,0,1023,-1,False,383,332,
sonnet-4.6,train,24,52,original,0,\frac{3}{4},\dfrac{3}{4},False,341,326,
sonnet-4.6,train,16,38,node_deletion,0,\begin{pmatrix} -11/15 \\ -2/3 \\ -2/15 \end{pmatrix},\begin{pmatrix} -1/3 \\ -2/3 \\ 2/3 \end{pmatrix},False,345,1385,
sonnet-4.6,train,17,39,node_deletion,0,\frac{8}{21},\dfrac{20}{21},False,318,810,
sonnet-4.6,train,23,5,edge_deletion,0,1023,-1,False,367,470,
sonnet-4.6,train,19,42,node_deletion,0,13,13,False,310,898,
sonnet-4.6,train,20,43,edge_deletion,0,\begin{pmatrix} -34/53 \\ 119/53 \end{pmatrix},\begin{pmatrix} -7/5 \\ 14/5 \end{pmatrix},False,318,825,
sonnet-4.6,train,23,5,original,0,1023,1023,True,380,645,
sonnet-4.6,train,20,43,original,0,\begin{pmatrix} -34/53 \\ 119/53 \end{pmatrix},\begin{pmatrix} -34/53 \\ 119/53 \end{pmatrix},True,341,1242,
sonnet-4.6,train,24,52,node_deletion,0,\frac{3}{4},\dfrac{3\sqrt{2}}{4},False,336,591,
sonnet-4.6,train,25,54,original,0,"[2,12)","[2,12)",True,335,514,
sonnet-4.6,train,17,39,edge_deletion,0,\frac{8}{21},0,False,316,1042,
sonnet-4.6,train,24,52,edge_deletion,0,\frac{3}{4},\dfrac{3}{2} \|\mathbf{p} \times \mathbf{q}\|,False,328,720,
sonnet-4.6,train,22,48,original,0,\frac{2535}{463},\dfrac{2535}{463},False,328,1069,
sonnet-4.6,train,27,59,original,0,-\frac{1}{2},-\dfrac{1}{2},False,291,697,
sonnet-4.6,train,26,58,original,0,54^\circ,54,False,327,539,
sonnet-4.6,train,19,42,edge_deletion,0,13,2,False,306,1248,
sonnet-4.6,train,27,59,edge_deletion,0,-\frac{1}{2},\dfrac{\left(1+\sqrt{a}\right)^{1990}+\left(1-\sqrt{a}\right)^{1990}}{2^{1991}},False,298,713,
sonnet-4.6,train,27,59,node_deletion,0,-\frac{1}{2},-\dfrac{1}{2},False,310,850,
sonnet-4.6,train,28,6,original,0,108,108,True,415,739,
sonnet-4.6,train,25,54,node_deletion,0,"[2,12)","[2,12)",False,342,965,
sonnet-4.6,train,22,48,edge_deletion,0,\frac{2535}{463},\dfrac{2535}{463},False,320,1401,
