model,model_id,split,problem_idx,variant,original_answer,predicted_answer,is_correct_exact,input_tokens,output_tokens,error
grok,x-ai/grok-4,AIME24,0,original,204,204,True,883,1518,
grok,x-ai/grok-4,AIME24,3,original,321,321,True,801,5064,
grok,x-ai/grok-4,AIME24,1,original,113,113,True,852,8646,
deepseek,deepseek/deepseek-r1,AIME24,0,original,204,204,True,205,6554,
grok,x-ai/grok-4,AIME24,2,original,23,23,True,921,7249,
grok,x-ai/grok-4,AIME24,9,original,33,33,True,889,1999,
grok,x-ai/grok-4,AIME24,7,original,236,236,True,825,6109,
grok,x-ai/grok-4,AIME24,6,original,315,,False,0,0,
grok,x-ai/grok-4,AIME24,8,original,45,45,True,871,4091,
grok,x-ai/grok-4,AIME24,11,original,55,55,True,810,2635,
deepseek,deepseek/deepseek-r1,AIME24,8,original,45,45,True,192,6814,
deepseek,deepseek/deepseek-r1,AIME24,9,original,33,33,True,210,8448,
grok,x-ai/grok-4,AIME24,12,original,104,104,True,822,9455,
grok,x-ai/grok-4,AIME24,15,original,902,902,True,845,9058,
grok,x-ai/grok-4,AIME24,14,original,127,127,True,1121,8807,
deepseek,deepseek/deepseek-r1,AIME24,11,original,55,55,True,133,7567,
grok,x-ai/grok-4,AIME24,19,original,25,25,True,795,4158,
grok,x-ai/grok-4,AIME24,20,original,809,809,True,848,3295,
grok,x-ai/grok-4,AIME24,17,original,110,110,True,813,9193,
grok,x-ai/grok-4,AIME24,21,original,116,116,True,870,3246,
grok,x-ai/grok-4,AIME24,18,original,721,721,True,838,11994,
grok,x-ai/grok-4,AIME24,22,original,104,104,True,889,3750,
grok,x-ai/grok-4,AIME24,24,original,540,540,True,792,1573,
grok,x-ai/grok-4,AIME24,23,original,294,294,True,804,6083,
grok,x-ai/grok-4,AIME24,27,original,73,73,True,849,2109,
grok,x-ai/grok-4,AIME24,26,original,480,480,True,832,9858,
grok,x-ai/grok-4,AIME24,28,original,468,468,True,797,14314,
grok,x-ai/grok-4,AIME24,29,original,601,601,True,822,8732,
deepseek,deepseek/deepseek-r1,AIME24,20,original,809,809,True,170,7683,
deepseek,deepseek/deepseek-r1,AIME24,24,original,540,,False,0,0,"HTTP 402: This request requires more credits, or fewer max_tokens. You requested up to 4096 tokens, but can only afford 528. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit"
